name,neighborhood,address,phone,reviews
Bistro Gambrinus,NoPa,1813 Fulton St,(415) 221-7777,286
La Mediterranee,Duboce Triangle,288 Noe St,(415) 431-7210,545
Bernal Star,Bernal Heights,410 Cortland Ave,(415) 695-8777,245
Piperade,North Beach/Telegraph Hill,1015 Battery St,(415) 391-2555,832
Paparikas,Financial District,645 Clay St,(415) 398-2338,75
Redford,Tenderloin,673 Geary St,(415) 563-8192,420
Foxsister,Mission,3161 24th St,(415) 829-7814,170
Casa De La Condesa Restaurant,Mission,2763 Mission St,(415) 829-3300,16
The New Spot On Polk,Russian Hill,2401 Polk St,(415) 913-7775,294
Om Indian Cuisine,The Haight,1668 Haight St,(415) 525-3705,241
Orenchi Beyond,Mission,174 Valencia St,(415) 431-3971,514
Tawla,Mission,206 Valencia St,(415) 814-2704,308
Coco’s Ramen,Bernal Heights,3319 Mission St,(415) 648-7722,396
Jake’s Steaks,Marina/Cow Hollow,3301 Buchanan St,(415) 922-2211,612
Kazan,Mission,2809 24th St,(415) 282-2001,327
Picnic on Third,South Beach,493 3rd St,(415) 500-2569,214
21 Taste House,Ingleside,1109 Ocean Ave,(415) 205-7984,200
Kebab King,Alamo Square,1109 Fillmore St,(415) 674-1301,185
Chloe’s Cafe,Noe Valley,1399 Church St,(415) 648-4116,918
Salt House,Financial District,545 Mission St,(415) 543-8900,1666
Mi Lindo Peru,Bernal Heights,3226 Mission St,(415) 642-4897,695
SF Kebab,Mission Bay,550 16th St,(415) 255-2262,202
The Cheese Steak Shop,Lower Pacific Heights,1716 Divisadero St,(415) 346-3712,843
Wise Sons Bagel & Coffee,Hayes Valley,537 Octavia St,(415) 787-3354,58
Kaiju Cooks,Inner Richmond,1650 Balboa St,(415) 221-6288,63
Cafe Reverie,Cole Valley,848 Cole St,(415) 242-0200,524
Outer Orbit,Bernal Heights,3215 Mission St,(415) 574-6166,6
Heirloom Cafe,Mission,2500 Folsom St,(415) 821-2500,468
El Castillito,Duboce Triangle,136 Church St,(415) 621-3428,791
Kitava,Mission,2011 Mission St,(415) 780-1661,162
St Francis Fountain,Mission,2801 24th St,(415) 826-4210,1117
Chowders,Fisherman's Wharf,Pier 39,(415) 391-4737,729
Roam Artisan Burgers,Marina/Cow Hollow,1785 Union St,(415) 440-7626,1472
Terra Cotta Warrior,Outer Sunset,2555 Judah St,(415) 681-3288,425
Green Chile Kitchen,NoPa,1801 Mcallister St,(415) 440-9411,1232
Fondue Chinoise,North Beach/Telegraph Hill,430 Broadway St,(415) 217-8888,26
Roka Akor - San Francisco,Financial District,801 Montgomery St,(415) 362-8887,1065
Jenny’s Burgers,Inner Sunset,1233 9th Ave,(415) 753-1453,541
Fly Bar,Alamo Square,762 Divisadero St,(415) 780-1630,729
AltoVino,Nob Hill,1358 Mason St,(415) 834-5766,34
Atlas Tap Room,Financial District,606 Mission St,(628) 222-6291,137
Zazang Korean Noodles,Lower Pacific Heights,2340 Geary Blvd,(415) 447-0655,451
Whitechapel SF,Tenderloin,600 Polk St,(415) 292-5800,379
Grumpy Cafe,Bayview-Hunters Point,66 Dorman Ave,(415) 285-2461,21
Radio Africa Kitchen,Bayview-Hunters Point,4800 3rd St,(415) 826-9660,310
Dirty Habit,Union Square,12 4th St,(415) 348-1555,517
Fang,Financial District,660 Howard St,(415) 777-8568,1431
Takara Sushi,Castro,4243 18th St,(415) 626-7864,290
Parker Potrero,Potrero Hill,1399 18th St,(415) 829-3796,96
The Boardroom,Russian Hill,1600 Powell St,(415) 982-8898,404
Acquolina,North Beach/Telegraph Hill,1600 Stockton St,(415) 781-0331,347
CHICA,North Beach/Telegraph Hill,120 Green St,(415) 757-0510,48
The Brixton,Marina/Cow Hollow,2140 Union St,(415) 409-1114,776
Blue Barn Gourmet,Marina/Cow Hollow,2105 Chestnut St,(415) 441-3232,819
Tēo Restaurant & Bar,SoMa,1111 Mission St,(415) 626-8366,252
Rumors,SoMa,398 7th St,(415) 553-6169,244
Thai Nghiep Ky Mi Gia,Outer Sunset,1427 Noriega St,(415) 682-8528,320
Eat Americana,Outer Richmond,3532 Balboa St,(415) 387-2893,202
Il Borgo,Hayes Valley,500 Fell St,(415) 255-9108,618
The Argentum Project,SoMa,47 6th St,(415) 944-1117,18
Tuba Express Mediterranean Kebab & Gyro,Nob Hill,1550 California St,(415) 563-4043,123
SOMA Eats,Financial District,186 2nd St,(415) 543-7662,411
Manitas Cafe,NoPa,2078 Hayes St,(415) 213-5566,73
Stoner’s,Tenderloin,752 Van Ness Ave,(415) 712-9335,60
Spinnerie,Nob Hill,1401 Polk St,(415) 345-1999,434
Piccolo Forno,Russian Hill,725 Columbus Ave,(415) 757-0087,393
Belga,Marina/Cow Hollow,2000 Union St,(415) 872-7350,390
Crepes A Go Go,SoMa,350 11th St,(415) 503-1294,558
Blue Barn Gourmet,Russian Hill,2237 Polk St,(415) 655-9438,457
An Chi,Outer Mission,4683 Mission St,(415) 333-9997,141
Poke Delish,Financial District,708 Kearny St,(628) 777-6772,216
Lunchpad,Hayes Valley,581 Hayes St,(415) 522-6647,263
Homage,Financial District,88 Hardie Pl,(415) 800-8741,223
Urban Ritual,Hayes Valley,488 Fell St,(415) 590-2873,168
Hong Kong Lounge II,Laurel Heights,3300 Geary Blvd,(415) 668-8802,858
Win Garden,Glen Park,2794 Diamond St,(415) 333-1331,248
Kam Po Kitchen,Nob Hill,801 Broadway,(415) 982-3516,398
Mela Tandoori Kitchen,Civic Center,536 Golden Gate Ave,(415) 969-8087,514
Hazel’s Kitchen,Potrero Hill,1319 18th St,(415) 647-7941,327
Eats By E,SoMa,687 Minna St,(510) 755-5055,23
Del Popolo,Lower Nob Hill,855 Bush St,(415) 589-7940,324
Violet’s,Outer Richmond,2301 Clement St,(415) 682-4861,49
KUSAKABE,Financial District,584 Washington St,(415) 757-0155,745
Catch,Duboce Triangle,2362 Market St,(415) 431-5000,862
Nabe,Inner Sunset,1325 9th Ave,(415) 731-2658,475
Ginza Sushi & Sake,The Haight,1793 Haight St,(415) 742-0552,370
The Spot Lounge,Parkside,2325 Taraval St,(415) 564-4464,537
Pakwan Restaurant - 16th Street,Mission,3180-82 16th St,(415) 255-2440,1621
Yan’s Kitchen,Financial District,57 Columbus Ave,(415) 989-8820,466
Ayola,Financial District,118 New Montgomery St,(415) 348-0808,667
Zzan,Lower Nob Hill,643 Post St,(415) 872-9977,191
La Corneta Taqueria,Glen Park,2834 Diamond St,(415) 469-8757,1025
Istanbul Modern SF,Russian Hill,1096 Union St,(845) 372-3038,78
Carbon Grill,Inner Richmond,852 Clement St,(415) 753-9966,397
The Pork Exchange,Tenderloin,807 Ellis St,(415) 932-6931,82
Shabu House,Lakeside,2608 Ocean Ave,(415) 586-8800,456
Bar Agricole,SoMa,355 11th St,(415) 355-9400,1029
Native Burger,Laurel Heights,3420 Geary Blvd,(415) 682-4197,121
Sasaki,Mission,2400 Harrison St,(415) 828-1912,58
Wako Japanese Restaurant,Inner Richmond,211 Clement St,(415) 682-4875,452
Don Pistos Tequila Bar,Marina/Cow Hollow,2030 Lombard St,(415) 400-4522,117
Pho Luen Fat,Visitacion Valley,110 Leland Ave,(415) 585-1167,99
Papalote Mexican Grill,Mission,3409 24th St,(415) 970-8815,2124
IPOT,Inner Sunset,1420 Irving St,(628) 400-5970,711
Onigilly,Financial District,4 Embarcadero Ctr,(415) 956-2075,235
Alimento,North Beach/Telegraph Hill,507 Columbus Ave,(415) 296-9463,585
Little Nepal,Bernal Heights,925 Cortland Ave,(415) 643-3881,423
Saffron 685,Mission Bay,685 Townsend St,(415) 863-2285,470
Scala’s Bistro,Union Square,432 Powell St,(415) 395-8555,1230
Sunflower Authentic Vietnamese Restaurant,Mission,3111 16th St,(415) 626-5023,1123
Tacko,Marina/Cow Hollow,3115 Fillmore St,(415) 796-3534,661
La Fina Estampa,Lower Nob Hill,1407 Bush St,(415) 345-1685,217
Leo’s Oyster Bar,Financial District,568 Sacramento St,(415) 872-9982,275
Little Star Pizza,Mission,400 Valencia St,(415) 551-7827,1936
Almanac Taproom,Mission,2704 24th St,(415) 932-6531,189
Helmand Palace,Russian Hill,2424 Van Ness Ave,(415) 345-0072,755
Tasty Pot,Inner Richmond,815 Clement St,(415) 666-3888,355
Um Ma Son,Outer Richmond,5850 Geary Blvd,(415) 831-8662,356
Doma,Bernal Heights,433 Precita Ave,(415) 648-4417,57
Credo,Financial District,360 Pine St,(415) 693-0360,763
Kan Ramen,Chinatown,229 Columbus Ave,(415) 800-7795,108
My Father’s Kitchen,Lower Pacific Heights,1655 Divisadero St,(415) 829-2610,403
Okkon Japanese Street Food,Mission,82 14th St,(510) 590-0482,13
Dabba,Financial District,71 Stevenson St,(415) 236-3984,260
Sweet Lime Thai Cuisine,Lower Pacific Heights,2100 Sutter St,(415) 674-7515,425
El Burrito Express,Lower Pacific Heights,1812 Divisadero St,(415) 776-4246,661
Rin’s Thai Restaurant,Noe Valley,4301 24th St,(415) 821-4776,324
King Of Thai Noodle House,Union Square,184 O'Farrell St,(415) 677-9991,1706
Last Drop Tavern,Union Square,550 Powell St,(415) 992-9459,334
ROOH,South Beach,333 Brannan St,(415) 525-4174,388
Marcello’s Pizza,Castro,420 Castro St,(415) 863-3900,657
Cala,Civic Center,149 Fell St,(415) 660-7701,344
Sushi Toni,Union Square,733 Bush St,(415) 986-8664,581
Cool Cravings,Lower Pacific Heights,1635 Divisadero St,(415) 771-4900,98
Momo’s,South Beach,760 2nd St,(415) 227-8660,828
707 Sutter,Lower Nob Hill,707 Sutter St,(415) 346-7979,555
Local Diner,Civic Center,1244 Market St,(415) 252-0247,31
Mission Cheese,Mission,736 Valencia St,(415) 553-8667,533
Fino Ristorante & Bar,Lower Nob Hill,624 Post St,(415) 928-2080,1039
Fueling Station,Russian Hill,2436 Polk St,(415) 757-0464,106
Bandit,Tenderloin,683 Geary St,(415) 658-7780,243
Toma,Marina/Cow Hollow,3318 Steiner St,(415) 921-8662,276
LaLe,Inner Sunset,731 Irving St,(415) 566-8814,340
Split,Russian Hill,2300 Polk St,(415) 296-8009,150
Pokihub,Westwood Park,1130 Ocean Ave,(415) 991-9283,184
Ideale,North Beach/Telegraph Hill,1309 Grant Ave,(415) 391-4129,685
Crostini & Java,Lower Nob Hill,899 Hyde St,(415) 872-9226,57
Yin Du Wonton Noodle,Chinatown,648 Pacific Ave,(415) 834-9388,334
Jersey,Financial District,145 2nd St,(415) 912-1502,372
Lai Hong Lounge,Russian Hill,1416 Powell St,(415) 397-2290,722
Brick & Beam,Fisherman's Wharf,555 N Point St,(415) 202-3612,159
Yonkers Cafe,Outer Sunset,3815 Noriega St,(415) 379-4459,144
Baiano Pizzeria,Hayes Valley,100 Gough St,(415) 621-1401,160
Thai Time Restaurant,Inner Richmond,315 8th Ave,(415) 831-3663,756
Marnee Thai,Outer Sunset,2225 Irving St,(415) 665-9500,1636
McCormick & Kuleto’s Seafood & Steaks,Russian Hill,900 N Point St,(415) 929-1730,1095
Garçon,Mission,1101 Valencia St,(415) 401-8959,784
Mission Pie,Mission,2901 Mission St,(415) 282-1500,1675
Smokin’ Warehouse Barbecue - Sacramento Street,Presidio Heights,3336 Sacramento St,(415) 440-0088,37
